amount,time_hour,distance_from_home,used_new_device,is_international,is_fraud
70.39,10,13.49,0,0,0
451.52,6,59.51,0,0,0
197.51,11,35.29,0,0,0
136.94,15,52.83,0,1,0
25.44,4,30.06,0,0,0
25.44,1,12.05,0,0,0
8.98,21,78.01,0,0,0
301.68,15,18.17,0,0,0
137.86,22,44.04,0,1,0
184.69,14,52.42,0,0,0
3.12,10,14.03,0,0,0
525.53,5,40.54,0,0,0
267.96,12,36.83,0,0,0
35.8,18,59.59,0,0,0
30.1,9,64.67,0,0,0
30.39,23,9.93,0,0,0
54.41,18,31.55,0,0,0
111.59,4,3.95,0,0,0
84.83,20,19.21,0,0,0
51.63,6,95.19,0,0,0
141.96,10,10.67,0,0,0
22.54,13,18.73,0,0,0
51.83,22,19.53,0,0,0
68.44,20,105.31,0,0,0
91.34,15,29.67,0,1,0
230.69,17,39.94,1,0,0
33.41,20,5.01,0,0,0
108.3,22,30.33,0,0,0
134.63,22,25.37,1,0,0
7.13,3,4.38,0,0,0
140.3,0,10.49,0,0,0
28.04,21,16.61,0,0,0
10.09,14,26.78,0,0,0
446.05,13,28.56,0,0,0
505.59,18,5.7,0,0,0
247.85,4,17.06,0,0,0
54.49,3,27.23,0,0,0
15.42,12,31.41,0,1,0
172.91,17,8.97,0,0,0
87.01,11,48.35,0,0,0
19.52,22,93.05,0,0,0
102.53,20,27.94,0,0,0
5.25,14,21.65,0,0,0
360.06,22,25.7,0,1,0
44.92,8,32.52,0,0,0
162.94,3,22.06,0,0,0
56.03,4,60.23,0,0,0
110.12,8,39.75,0,0,0
118.68,12,29.63,0,0,0
30.66,9,21.7,1,0,0
523.92,15,10.38,0,0,0
223.84,12,36.51,0,0,0
420.76,3,41.45,0,0,0
337.82,20,15.38,0,0,0
136.66,12,59.11,1,0,0
382.42,20,25.28,0,0,0
13.9,7,41.99,1,0,0
32.72,12,34.24,1,0,0
6.94,14,12.06,0,0,0
59.03,19,83.79,0,0,0
73.82,19,24.94,0,0,0
47.48,12,18.52,0,0,0
264.68,22,34.86,0,0,0
66.18,4,75.16,0,0,0
49.47,21,9.8,0,0,0
117.36,21,43.24,0,0,0
22.78,5,20.87,1,0,0
243.07,4,47.48,0,0,0
11.62,12,45.33,0,0,0
650.12,4,6.33,0,0,0
221.92,12,19.93,0,0,0
33.23,23,12.59,0,0,0
0.83,19,53.26,0,0,0
253.48,22,35.9,0,0,0
184.06,7,56.67,0,0,0
195.85,8,45.51,0,0,0
221.28,20,16.02,0,0,0
11.54,18,15.19,0,0,0
66.58,19,32.55,1,0,0
18.47,14,100.72,0,0,0
298.28,21,22.21,0,0,0
146.45,9,32.71,0,0,0
60.27,10,43.84,0,0,0
9.85,4,25.27,1,0,0
55.87,8,101.91,0,1,0
59.0,10,19.42,0,0,0
196.18,18,9.39,0,0,0
152.23,1,44.86,0,0,0
